Benchmark,Kernel,L1_RH,L1_RM,L1_WH,L1_WM,CC_ACC,SHRD_ACC,DRAM_Rd,DRAM_Wr,L2_RH,L2_RM,L2_WH,L2_WM,NOC,Pipeline_Duty,Num_Idle_SMs,Elapsed_Cycles,Chip Voltage
b+tree-rodinia-3.1,findRangeK,1632070,562467,41050,19396,0,0,260266,3366,395728,260056,60000,0,1347618,0.334505544,5.168,64584.55,1
b+tree-rodinia-3.1,findK,1320387,526402,42792,7223,0,0,255751,2794,368971,255672,50000,0,1247150,0.278371907,2.704,79976.225,1
backprop-rodinia-3.1,_Z22bpnn_layerforward_CUDAPfS_S_S_ii,49152,143822,192467,4161,0,413696,147464,60045,28962,147460,196608,0,704512,0.548770863,9.96,24614.35,1
backprop-rodinia-3.1,_Z24bpnn_adjust_weights_cudaPfiS_iS_S_,465083,279530,327089,714,0,0,286740,191035,54646,286734,327686,0,1265332,0.20034651,13.32,30354.35,1
binomialOptions,_Z21binomialOptionsKernelv,0,0,0,1024,23037,16778240,640,0,0,0,1024,0,2048,0.643042082,1.968,1367913.15,1
dct8x8,_Z14CUDAkernel1DCTPfiiiy,0,0,593.6,32274.4,786432,114688,32802.6,0,16384,32768,32768,0,131072,0.006089117,0.75744,24303.8575,1
dct8x8,_Z14CUDAkernel2DCTPfS_i,0,32768,0,32768,0,49152,32773,0,0,32768,32768,0,131072,0.001418021,0.316986962,5812.807673,1
fastWalshTransform,_Z15fwtBatch2KernelPfS_i,0,1048576,772332.8889,275517.7778,0,0,1048583.944,946429.7222,0,1048576,1048576,0,4194304,0.005533953,0.180567901,106098.3694,1
fastWalshTransform,_Z15fwtBatch1KernelPfS_i,0,1048576,640265.3333,414626.6667,0,3407872,1048583.667,950304,0,1048576,1048576,0,4194304,0.133295781,0.707555556,144063.3333,1
histogram,_Z17histogram64KernelPjP5uint4j,0,2097152,0,34960,0,4893504,2097159.941,26096.76471,0,2097152,34960,0,4264224,0.020319762,0.225882353,142967.9603,1
hotspot-rodinia-3.1,_Z14calculate_tempiPfS_S_iiiiffffff,4490,691083,12,175092,0,997428,262149,80052,487160,262144,175104,0,1732508,0.963692838,2.872,55177.25,1
kmeans-rodinia-3.1,_Z11kmeansPointPfiiiPiS_S_S0_,0,0,0,102400,4352117,0,12291979.5,92805.5,6750348,12307726,102400,0,25905980,0.058582938,0.84,878896.6875,1
mergeSort,_Z30mergeElementaryIntervalsKernelILj1EEvPjS0_S0_S0_S0_S0_jj,152903.5833,1127039.917,440291.3333,829649.0833,0,3670010.167,1057034.833,1030761.667,198996,1056768,1269870.667,3.416666667,4877789.167,0.035885219,0.213277778,161257.4625,1
mergeSort,_Z21mergeSortSharedKernelILj1EEvPjS0_S0_S0_j,0,1048576,0,1048576,0,12976128,1048585,950177,0,1048576,1048576,0,4194304,0.894359957,1.752,449309.45,1
parboil-mri-q,_Z12ComputeQ_GPUiiPfS_S_S_S_,0,163840,65020,508,17797263.5,0,164364,0,0,163840,65536,0,458752,0.293426604,4.466,695502.8375,1
parboil-sad,_Z11mb_sad_calcPtS_ii,101184,412545,2102281,7285511,0,10033920,257977,9289033,8594171,257280,9390234,471,36405274,0.258384131,0.144,6554397.475,1
parboil-sgemm,_Z9mysgemmNTPKfiS0_iPfiiff,7109920,2453492,134624,644,0,8642304,393094,36903,2059660,393088,135168,0,5176768,0.555636982,0.952,357618.625,1
quasirandomGenerator,_Z26quasirandomGeneratorKernelPfjj,0,0,0,393216,47616,0,24.33333333,294944.5238,0,0,393216,0,786432,0.029050435,0.848834467,80373.66667,1
quasirandomGenerator,_Z16inverseCNDKernelPfPjj,0,0,0,393216,0,0,7.952380952,294949.8571,0,0,393216,0,786432,0.014405065,0.236988662,59199.14762,1
SobolQRNG,_Z15sobolGPU_kerneljjPjPf,172816,31984,0,1250000,0,1899700,407,1151643,31592,400,1250000,0,2563968,0.617471351,2.528,114505.925,1
srad_v1-rodinia-3.1,_Z4sradfiilPiS_S_S_PfS0_S0_S0_fS0_S0_,237749.79,291245.23,28566.16,143879.6,0,0,201552.77,45453.75,101963.77,201546,172440,0,951224.42,0.003554433,0.1719972,27191.01475,1
